rank,legal_name,approval_count,approval_rate,case_count,denied_count,certified_positions,industry,naics_code,hq_location,socal_worksites,aliases
191,"Sapient Bioanalytics, LLC",1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"San Diego, CA",San Diego,"Sapient Bioanalytics, LLC"
192,"Schrodinger, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"New York, NY",San Diego,"Schrodinger, Inc."
193,Scripps Health,1,1.0000,1,0,1,Health care & social assistance,62211,"San Diego, CA",San Diego,Scripps Health
194,SILICON STAFF IT SERVICES INC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"PRINCETON, NJ",IRVINE,SILICON STAFF IT SERVICES INC
195,"Simpson Strong-Tie Company, Inc.",1,1.0000,1,0,1,Manufacturing,332119,"Pleasanton, CA",Irvine,"Simpson Strong-Tie Company, Inc."
196,"Skadden, Arps, Slate, Meagher & Flom LLP",1,1.0000,1,0,1,"Professional, scientific & technical services",541110,"New York, NY",Los Angeles,"Skadden, Arps, Slate, Meagher & Flom LLP"
197,Soka University of America,1,1.0000,1,0,1,Educational services,611310,"Aliso Viejo, CA",Aliso Viejo,Soka University of America
198,"Sonos, Inc.",1,1.0000,1,0,1,Manufacturing,334310,"Goleta, CA",Goleta,"Sonos, Inc."
199,"Spotter, Inc.",1,1.0000,1,0,1,Finance & insurance,522291,"Culver City, CA",Culver City,"Spotter, Inc."
200,"SRF Consulting Group, Inc",1,1.0000,1,0,1,"Professional, scientific & technical services",541330,"Wayzata, MN",Murrieta,"SRF Consulting Group, Inc"
201,"Strategic Global Advisors, LLC",1,1.0000,1,0,1,Finance & insurance,52393,"Newport Beach, CA",Newport Beach,"Strategic Global Advisors, LLC"
202,"STUBHUB, INC.",1,1.0000,1,0,1,Retail trade,45999,"New York, NY",Santa Monica,"STUBHUB, INC."
203,"Suffolk Construction Company, Inc.",1,1.0000,1,0,1,Construction,23622,"Boston, MA",Los Angeles,"Suffolk Construction Company, Inc."
204,"SWAPP.IO, INC",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,Tel Aviv,Los Angeles,"SWAPP.IO, INC"
205,"Tek Labs, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Farmington Hills, MI",Tustin,"Tek Labs, Inc."
206,"TENANT, INC.",1,1.0000,1,0,1,Information,511210,"NEWPORT BEACH, CA",NEWPORT BEACH,"TENANT, INC."
